Title,Number of ratings,Gutenberg ID,Factor,Rank
"A Little Norsk: or, Ol' Paps Flaxen",9,21850,Y,293
A Monk of Fife: Being the Chronicle Written by Norman Leslie of Picullo,9,1631,Y,294
April's Lady,9,21641,Y,295
Averil,9,48228,Y,296
Corleone: A Tale of Sicily,9,44311,Y,297
Don Orsino,9,13218,Y,298
Draw Swords!: In the Horse Artillery,9,34493,Y,299
"Jennie Baxter, Journalist",9,9300,Y,300
Pomona's Travels,9,12460,Y,301
Prairie Folks,9,20697,Y,302
The Chronicles of Count Antonio,9,40570,Y,303
The Doomswoman: A Romance of Old California,9,12270,Y,304
The King's Assegai: A Matabili Story,9,32925,Y,305
The Romance of the Golden Star,9,20173,Y,306
The Scapegoat: A Romance,9,1303,Y,307
T'ween Snow and Fire: A Tale of the Last Kafir War,8,32896,Y,308
A Daughter of the Vine,8,35512,Y,309
A Deal with the Devil,8,47246,Y,310
A Girl in Spring-Time,8,36874,Y,311
A Second Coming,8,38156,Y,312
Michael's Crag,8,5869,Y,313
Miranda of the Balcony: A Story,8,38679,Y,314
Pharais: A Romance of the Isles,8,,Y,315
The Buffalo Runners: A Tale of the Red River Plains,8,23372,Y,316
The Changeling,8,49035,Y,317
The Redemption of David Corson,8,14730,Y,318
"Three Partners: or, The Big Strike on Heavy Tree Hill",8,2560,Y,319
Two Maiden Aunts,8,30498,Y,320
Vain Fortune,8,11303,Y,321
A Romance of Wastdale,7,38719,Y,322
A Woman Intervenes,7,9379,Y,323
Evelyn Innes,7,13201,Y,324
From Whose Bourne,7,9312,Y,325
In the Midst of Alarms,7,9263,Y,326
Renshaw Fanning's Quest: A Tale of the High Veldt,7,32919,Y,327
The Cock-house at Fellsgarth,7,21037,Y,328
The Philanderers,7,13057,Y,329
A Devotee: An Episode in the Life of a Butterfly,6,40408,Y,330
A Doctor of the Old School,6,9320,Y,331
A Humble Enterprise,6,37866,Y,332
A Vendetta of the Desert,6,36601,Y,333
Clarence,6,2635,Y,334
Dreamers of the Ghetto,6,29875,Y,335
Gaston de Latour: An Unfinished Romance,6,4062,Y,336
"Gilian the Dreamer: His Fancy, his Love and Adventure",6,22211,Y,337
Her Ladyship's Elephant,6,28149,Y,338
Lawrence Clavering,6,38718,Y,339
One of Our Conquerors,6,4476,Y,340
Reginald Cruden: A Tale of City Life,6,21043,Y,341
"Roger Ingleton, Minor",6,21042,Y,342
The Carbonels,6,21223,Y,343
The Face and the Mask,6,8681,Y,344
The Hot Swamp: A Romance of Old Albion,6,21757,Y,345
The Lady of Lynn,6,42618,Y,346
The Last Tenant,6,43199,Y,347
The Maid of Maiden Lane: A Love Story,6,5757,Y,348
The Men of Moss-Hags: Being a History of Adventure,6,32137,Y,349
The Mormon Prophet,6,17279,Y,350
The Village Watch Tower,6,936,Y,351
The Waters of Edera,6,13459,Y,352
"Tom, Dick and Harry",6,20992,Y,353
A Woman's Burden: A Novel,5,35240,Y,354
An Isle in the Water,5,31391,Y,355
Aylwin,5,13454,Y,356
Catharine Furze: A Novel,5,6023,Y,357
Father Stafford,5,14755,Y,358
Parson Kelly,5,38684,Y,359
The Bell-Ringer of Angel's,5,2676,Y,360
"The Bountiful Lady: or, How Mary was Changed from a very Miserable Little Girl to a very Happy One",5,30446,Y,361
The Crystal Hunters: A Boy's Adventures in the Higher Alps,5,24516,Y,362
The Farringdons,5,19798,Y,363
The Great Cattle Trail,5,30212,Y,364
The Infidel: A Story of the Great Revival,5,50676,Y,365
The Light of Scarthey: A Novel,5,26045,Y,366
The Orange Girl,5,41545,Y,367
Mr.  and Mrs. Nevill Tyson,5,15722,Y,368
The White Shield,5,32893,Y,369
Tristram of Blent: An Episode in the Story of an Ancient House,5,20981,Y,370
Young Lives,5,10922,Y,371
A Dozen Ways of Love,4,18086,Y,372
A Marriage at Sea,4,32516,Y,373
Adventures of Captain Kettle,4,12556,Y,374
A Prot<e9>g<e9>e of Jack Hamlin's,4,2692,Y,375
"Baboo Jabberjee, B. A.",4,25129,Y,376
Capt'n Davy's Honeymoon,4,25572,Y,377
