,Title,Genre,Goodreads,Sentiment,Status,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Negative,Positive,Tokens,AngerPR,AnticipationPR,DisgustPR,FearPR,JoyPR,SadnessPR,SurprisePR,TrustPR,MeanH,MeanL
823,Won By the Sword a tale of the Thirty Years War ,Historical & Political,0,0.277486,Neither,310,287,178,401,239,307,166,425,716,755,129380,0.239604267,0.221827176,0.137579224,0.309939712,0.18472716,0.237285516,0.12830422,0.32848972,1.000155,0.787602412
824,Wulf the Saxon A Story of the Norman Conquest,Historical & Political,0,0.184689,Neither,349,303,213,422,270,354,183,431,786,778,131398,0.26560526,0.230597117,0.162102924,0.321161662,0.20548258,0.269410493,0.139271526,0.328011081,1.093624,0.828018691
833,All's Well or Alice's Victory ,Historical & Political,3,0.279274,Neither,243,244,187,320,237,280,144,350,608,633,66470,0.365578456,0.367082895,0.281329923,0.48142019,0.356551828,0.421242666,0.216639085,0.526553332,1.701519,1.314878893
12,Babes in the Bush   ,Imperial & Foreign,0,0.389451,Neither,507,468,342,597,426,500,252,648,1219,1233,159577,0.317714959,0.293275347,0.2143166,0.374114064,0.266955764,0.313328362,0.157917494,0.406073557,1.331019,1.012677266
13,Baboo Jabberjee B.A.,Imperial & Foreign,4,0.488777,Neither,300,343,212,354,306,295,184,460,775,862,45086,0.665395023,0.760768309,0.470212483,0.785166127,0.678702923,0.654305106,0.408108947,1.020272368,3.007586,2.435345784
16,Between Sun and Sand A Tale of an African Desert ,Imperial & Foreign,2,-0.062542,Neither,320,270,243,420,234,332,148,342,777,658,57443,0.557073969,0.470031161,0.423028045,0.731159584,0.40736034,0.577964243,0.257646711,0.595372804,2.376269,1.643368208
18,Black Rock A Tale of the Selkirks  ,Imperial & Foreign,18,0.14054,Neither,228,231,163,291,233,267,134,322,558,591,57642,0.395544915,0.400749454,0.282779917,0.504840221,0.404219146,0.463203914,0.23246938,0.55862045,1.819854,1.422573818
25,Boris the Bear Hunter  ,Imperial & Foreign,0,0.18658,Neither,337,316,219,422,282,342,188,428,779,800,76749,0.439093669,0.411731749,0.285345737,0.549844298,0.367431497,0.445608412,0.244954332,0.557661989,1.886670,1.41500215
32,By Far Euphrates A Tale,Imperial & Foreign,17,0.038883,Neither,298,285,212,399,270,346,176,383,707,728,79844,0.373227794,0.356946045,0.26551776,0.499724463,0.338159411,0.433345023,0.220429838,0.479685387,1.697059,1.269976454
64,Cowmen and Rustlers A Story of the Wyoming Cattle Ranges,Imperial & Foreign,106,0.124706,Neither,219,229,128,310,181,235,153,281,545,533,54329,0.403099634,0.42150601,0.235601612,0.570597655,0.333155405,0.432549835,0.281617552,0.517219165,1.824072,1.37127501
112,A Digit of the Moon A Hindoo Love Story,Imperial & Foreign,181,0.131196,Neither,181,157,135,225,153,208,90,195,417,377,27545,0.657106553,0.569976402,0.490107097,0.816845162,0.55545471,0.755127972,0.326738065,0.707932474,2.846252,2.033036849
204,Jungle and Stream Or The Adventures of Two Boys in Siam,Imperial & Foreign,0,0.056701,Neither,302,272,209,395,223,307,165,317,745,587,117750,0.256475584,0.230997877,0.177494692,0.335456476,0.189384289,0.260721868,0.140127389,0.269214437,1.098938,0.760934183
208,Kim,Imperial & Foreign,32366,0.104296,Both canonical and bestsellers,325,312,277,421,281,346,189,431,882,773,108399,0.299818264,0.287825533,0.255537413,0.388379967,0.259227484,0.319191136,0.174355852,0.397605144,1.377319,1.004621814
