Book,Title,Goodreads,Sentiment,Status,MATTR
586,The Lord of the Sea,26,0.008102,Neither,0.5426027442513479
587,The Lost Heir,0,0.372954,Neither,0.47164884468705603
588,The Lost Stradivarius,448,0.351233,Neither,0.5155474624441738
589,A Roving Commission Or Through the Black Insurrection at Hayti,0,0.183348,Neither,0.4830890532005104
590,The Lost Treasure of Trevlyn A Story of the Days of the Gunpowder Plot,0,0.200193,Neither,0.5109460809853981
591,The Love Affairs of an Old Maid,36,0.312455,Neither,0.4927584618927009
592,The Luck of Gerard Ridgeley,2,-0.058756,Neither,0.5355414037285033
593,The Lunatic at Large,0,0.378142,Neither,0.5268185532810098
594,The Maid of Honour A Tale of the Dark Days of France,0,0.171562,Neither,0.5650108687153023
595,The Maid of Maiden Lane,6,0.467575,Neither,0.5072025165365296
596,The Making of a Prig,1,0.175148,Neither,0.48947202115977284
597,The Making of a Saint,76,0.0162,Neither,0.4823850197300406
598,The Making of Mary,1,0.463641,Neither,0.5316492647058824
599,The Man in Black,0,-0.163582,Neither,0.5079207645203192
600,A Second Coming,8,0.027799,Neither,0.4798724211605846
601,The Manxman A Novel,27,-3.56e-4,Bestsellers,0.5016009922006364
602,The Marriage of Elinor,0,0.261017,Neither,0.4766335546491202
603,The Martian A Novel,63,0.601368,Neither,0.5453535172012147
604,The Master Christian,4,0.339647,Bestsellers,0.5413416258491599
605,The Master of the Shell,25,0.184649,Neither,0.5009716575664981
606,The Men of the Moss Hags Being,6,0.01772,Neither,0.5097287684597986
607,The Mermaid A Love Tale,33,0.219891,Neither,0.4846302699498629
608,The Midnight Passenger,12,-0.029073,Neither,0.55073306239541
609,The Moon Metal,0,0.327086,Neither,0.5343841125362019
610,The Mormon Prophet,6,0.175693,Neither,0.5137263029440179
611,A Singer from the Sea,0,0.29981,Neither,0.500555661945169
612,The Mountain Lovers,3,-0.130545,Neither,0.5017752093153397
613,The Mystery of Choice,23,-0.033954,Neither,0.5142481606403244
614,The Mystery of the Clasped Hands,4,0.343922,Neither,0.49052295817390157
615,The New Rector,0,0.108047,Neither,0.49593658891259523
616,The Nigger Of The Narcissus A Tale Of The Forecastle,1848,-0.240581,Canonical novels,0.5649409134339767
617,The Observations of Henry,36,0.258821,Neither,0.4740670293797606
618,The Odd Women,4395,0.153501,Canonical novels,0.5265689091208406
619,The Old Maids Club,2,0.253629,Neither,0.5270041337752335
620,The Open Question A Tale of Two Temperaments,1,0.188643,Neither,0.5267872968536745
621,The Orange Girl,5,0.046895,Neither,0.4953036192979443
622,A Sister of the Red Cross A Tale of the South African War,0,0.143651,Neither,0.4700682091085775
623,The Oriel Window,0,0.428427,Neither,0.48375653413591
624,The Parasite A Story,447,1.73e-4,Neither,0.4959926212025134
625,The Path of a Star,0,0.300986,Neither,0.5359222766004441
626,The Paying Guest,125,0.14582,Neither,0.5110564433367542
627,The People of the Mist,3238,-0.048391000000000003,Neither,0.5025101392991661
628,The Philanderers,7,0.081474,Neither,0.5098549820908265
629,The Picture of Dorian Gray,919179,0.061888,Canonical novels,0.5048357329676748
630,The Pilots of Pomona A Story of the Orkney Islands,2,0.075362,Neither,0.505502954458388
631,The Pirate Slaver A Story of the West African Coast,0,0.23205,Neither,0.5189350283035384
632,The Pomp of the Lavilettes,0,0.029175,Neither,0.49436649406349703
633,A Sweet Girl Graduate,0,0.311148,Neither,0.4925731945435693
634,The Potter's Thumb,1,0.042033,Neither,0.5362032042786452
635,The Pride of Jennico Being a Memoir of Captain Basil Jennico,4,0.111054,Neither,0.5029619297709924
636,The Prince of India Or Why Constantinople Fell,0,0.379281,Neither,0.5441014925373134
637,The Princess Aline,26,0.447994,Neither,0.48937230842305257
638,The Prisoner of Zenda,17494,0.130214,Both canonical and bestsellers,0.49404501548102414
639,The Prophet of Berkeley Square,4,0.311304,Neither,0.5224175994118319
640,The Purple Cloud,1087,-0.156676,Neither,0.5317950158157685
641,The Queen s Cup,0,0.232294,Neither,0.46961351169458554
642,The Queen s Scarlet The Adventures and Misadventures of Sir Richard Frayne,1,0.044482,Neither,0.4896852517300489
643,The Queen Against Owen,0,-0.042315,Neither,0.5018641608512402
644,A Tale of Two Tunnels A Romance of the Western Waters,3,0.146289,Neither,0.525411493011817
645,The Quest of the Golden Girl A Romance,12,0.590396,Neither,0.5224516924763601
646,The Rajah of Dah,0,0.105759,Neither,0.49903167168654716
647,The Ralstons,2,0.148397,Neither,0.43330237600315746
648,The Recipe for Diamonds,4,0.076925,Neither,0.5500706422181514
649,The Red Axe,4,0.118713,Neither,0.5098546650879873
650,The Red Badge of Courage An Episode of the American Civil War,87355,-0.131842,Neither,0.5285666349151369
651,The Red Cockade,0,-0.200397,Neither,0.4972982384534753
652,The Red Rat's Daughter,2,0.32562,Neither,0.4920795300721533
653,The Redemption of David Corson,8,0.100177,Neither,0.520595654255956
654,The Refugees A Tale of Two Continents,130,0.03806,Bestsellers,0.5109141384999228
655,A Traveler from Altruria Romance,69,0.457745,Neither,0.48410272590749814
